placeDcid,placeName,Date:Count_Person_35To44Years,Value:Count_Person_35To44Years,Source:Count_Person_35To44Years,Date:Count_Person_45To54Years,Value:Count_Person_45To54Years,Source:Count_Person_45To54Years,Date:Count_Person_18To34Years_Civilian_NonInstitutionalized,Value:Count_Person_18To34Years_Civilian_NonInstitutionalized,Source:Count_Person_18To34Years_Civilian_NonInstitutionalized,Date:Count_Person_55To64Years,Value:Count_Person_55To64Years,Source:Count_Person_55To64Years,Date:Count_Person_65OrMoreYears,Value:Count_Person_65OrMoreYears,Source:Count_Person_65OrMoreYears
geoId/4112150,Cedar Mill,2022,3076,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,3145,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2016,3089,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,2062,https://www.census.gov/,2022,2340,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/4121215,Dunthorpe,2022,185,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,324,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,2022,201,https://www.census.gov/,2022,452,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/4124250,Fairview,2022,1297,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1214,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2016,2223,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1398,https://www.census.gov/,2022,1251,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/4131250,Gresham,2022,15196,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,14003,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2016,26778,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,14580,https://www.census.gov/,2022,16742,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/4140550,Lake Oswego,2022,5122,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,6084,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2016,5421,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,5593,https://www.census.gov/,2022,8905,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/4146730,Maywood Park,2022,157,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,147,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2016,127,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,225,https://www.census.gov/,2022,146,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/4148650,Milwaukie,2022,3955,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,2651,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2016,4965,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,2617,https://www.census.gov/,2022,3489,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/4155500,Orient,2022,79,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,107,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,2022,12,https://www.census.gov/,2022,65,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/4159000,Portland,2022,114661,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,88992,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2016,173733,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,69772,https://www.census.gov/,2022,90316,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/4174850,Troutdale,2022,2624,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1882,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2016,4248,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1801,https://www.census.gov/,2022,1852,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/4180025,West Haven-Sylvan,2022,963,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,1040,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2016,2167,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,588,https://www.census.gov/,2022,1482,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/4183950,Wood Village,2022,670,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,444,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2016,1080,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,283,https://www.census.gov/,2022,489,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
